Text,URL
Accountants & Auditors,/profile/summary/13-2011.00
,/profile/bright/13-2011.00
Actors,/profile/summary/27-2011.00
Actuaries,/profile/summary/15-2011.00
,/profile/bright/15-2011.00
Acupuncturists,/profile/summary/29-1291.00
,/profile/bright/29-1291.00
Acute Care Nurses,/profile/summary/29-1141.01
,/profile/bright/29-1141.01
Adapted Physical Education Specialists,/profile/summary/25-2059.01
Adhesive Bonding Machine Operators & Tenders,/profile/summary/51-9191.00
"Administrative Law Judges, Adjudicators, & Hearing Officers",/profile/summary/23-1021.00
Administrative Services Managers,/profile/summary/11-3012.00
,/profile/bright/11-3012.00
"Adult Basic Education, Adult Secondary Education, & English as a Second Language Instructors",/profile/summary/25-3011.00
Advanced Practice Psychiatric Nurses,/profile/summary/29-1141.02
,/profile/bright/29-1141.02
Advertising & Promotions Managers,/profile/summary/11-2011.00
Advertising Sales Agents,/profile/summary/41-3011.00
Aerospace Engineering & Operations Technologists & Technicians,/profile/summary/17-3021.00
,/profile/bright/17-3021.00
Aerospace Engineers,/profile/summary/17-2011.00
,/profile/bright/17-2011.00
"Agents & Business Managers of Artists, Performers, & Athletes",/profile/summary/13-1011.00
,/profile/bright/13-1011.00
Agricultural Engineers,/profile/summary/17-2021.00
,/profile/bright/17-2021.00
Agricultural Equipment Operators,/profile/summary/45-2091.00
,/profile/bright/45-2091.00
Agricultural Inspectors,/profile/summary/45-2011.00
"Agricultural Sciences Teachers, Postsecondary",/profile/summary/25-1041.00
Agricultural Technicians,/profile/summary/19-4012.00
,/profile/bright/19-4012.00
Air Traffic Controllers,/profile/summary/53-2021.00
Aircraft Cargo Handling Supervisors,/profile/summary/53-1041.00
,/profile/bright/53-1041.00
Aircraft Mechanics & Service Technicians,/profile/summary/49-3011.00
Aircraft Service Attendants,/profile/summary/53-6032.00
,/profile/bright/53-6032.00
"Aircraft Structure, Surfaces, Rigging, & Systems Assemblers",/profile/summary/51-2011.00
Airfield Operations Specialists,/profile/summary/53-2022.00
"Airline Pilots, Copilots, & Flight Engineers",/profile/summary/53-2011.00
Allergists & Immunologists,/profile/summary/29-1229.01
Ambulance Drivers & Attendants,/profile/summary/53-3011.00
Amusement & Recreation Attendants,/profile/summary/39-3091.00
,/profile/bright/39-3091.00
Anesthesiologist Assistants,/profile/summary/29-1071.01
,/profile/bright/29-1071.01
Anesthesiologists,/profile/summary/29-1211.00
Animal Breeders,/profile/summary/45-2021.00
Animal Caretakers,/profile/summary/39-2021.00
,/profile/bright/39-2021.00
Animal Control Workers,/profile/summary/33-9011.00
Animal Scientists,/profile/summary/19-1011.00
,/profile/bright/19-1011.00
Animal Trainers,/profile/summary/39-2011.00
,/profile/bright/39-2011.00
Anthropologists & Archeologists,/profile/summary/19-3091.00
,/profile/bright/19-3091.00
"Anthropology & Archeology Teachers, Postsecondary",/profile/summary/25-1061.00
Appraisers & Assessors of Real Estate,/profile/summary/13-2023.00
Appraisers of Personal & Business Property,/profile/summary/13-2022.00
"Arbitrators, Mediators, & Conciliators",/profile/summary/23-1022.00
,/profile/bright/23-1022.00
Architects,/profile/summary/17-1011.00
,/profile/bright/17-1011.00
Architectural & Civil Drafters,/profile/summary/17-3011.00
Architectural & Engineering Managers,/profile/summary/11-9041.00
,/profile/bright/11-9041.00
"Architecture Teachers, Postsecondary",/profile/summary/25-1031.00
Archivists,/profile/summary/25-4011.00
,/profile/bright/25-4011.00
"Area, Ethnic, & Cultural Studies Teachers, Postsecondary",/profile/summary/25-1062.00
Art Directors,/profile/summary/27-1011.00
Art Therapists,/profile/summary/29-1129.01
,/profile/bright/29-1129.01
"Art, Drama, & Music Teachers, Postsecondary",/profile/summary/25-1121.00
Astronomers,/profile/summary/19-2011.00
,/profile/bright/19-2011.00
Athletes & Sports Competitors,/profile/summary/27-2021.00
,/profile/bright/27-2021.00
Athletic Trainers,/profile/summary/29-9091.00
,/profile/bright/29-9091.00
Atmospheric & Space Scientists,/profile/summary/19-2021.00
,/profile/bright/19-2021.00
"Atmospheric, Earth, Marine, & Space Sciences Teachers, Postsecondary",/profile/summary/25-1051.00
Audio & Video Technicians,/profile/summary/27-4011.00
Audiologists,/profile/summary/29-1181.00
,/profile/bright/29-1181.00
Audiovisual Equipment Installers & Repairers,/profile/summary/49-2097.00
Automotive & Watercraft Service Attendants,/profile/summary/53-6031.00
Automotive Body & Related Repairers,/profile/summary/49-3021.00
Automotive Engineering Technicians,/profile/summary/17-3027.01
Automotive Engineers,/profile/summary/17-2141.02
,/profile/bright/17-2141.02
Automotive Glass Installers & Repairers,/profile/summary/49-3022.00
Automotive Service Technicians & Mechanics,/profile/summary/49-3023.00
Aviation Inspectors,/profile/summary/53-6051.01
Avionics Technicians,/profile/summary/49-2091.00
,/profile/bright/49-2091.00
Baggage Porters & Bellhops,/profile/summary/39-6011.00
Bailiffs,/profile/summary/33-3011.00
Bakers,/profile/summary/51-3011.00
Barbers,/profile/summary/39-5011.00
,/profile/bright/39-5011.00
Baristas,/profile/summary/35-3023.01
,/profile/bright/35-3023.01
Bartenders,/profile/summary/35-3011.00
,/profile/bright/35-3011.00
Bicycle Repairers,/profile/summary/49-3091.00
,/profile/bright/49-3091.00
Bill & Account Collectors,/profile/summary/43-3011.00
Billing & Posting Clerks,/profile/summary/43-3021.00
Biochemists & Biophysicists,/profile/summary/19-1021.00
,/profile/bright/19-1021.00
Bioengineers & Biomedical Engineers,/profile/summary/17-2031.00
,/profile/bright/17-2031.00
Biofuels Processing Technicians,/profile/summary/51-8099.01
Biofuels Production Managers,/profile/summary/11-3051.03
Biofuels/Biodiesel Technology & Product Development Managers,/profile/summary/11-9041.01
,/profile/bright/11-9041.01
Bioinformatics Scientists,/profile/summary/19-1029.01
,/profile/bright/19-1029.01
Bioinformatics Technicians,/profile/summary/15-2099.01
,/profile/bright/15-2099.01
"Biological Science Teachers, Postsecondary",/profile/summary/25-1042.00
,/profile/bright/25-1042.00
Biological Technicians,/profile/summary/19-4021.00
,/profile/bright/19-4021.00
Biologists,/profile/summary/19-1029.04
,/profile/bright/19-1029.04
Biomass Plant Technicians,/profile/summary/51-8013.03
Biomass Power Plant Managers,/profile/summary/11-3051.04
Biostatisticians,/profile/summary/15-2041.01
,/profile/bright/15-2041.01
Blockchain Engineers,/profile/summary/15-1299.07
,/profile/bright/15-1299.07
Boilermakers,/profile/summary/47-2011.00
"Bookkeeping, Accounting, & Auditing Clerks",/profile/summary/43-3031.00
,/profile/bright/43-3031.00
Brickmasons & Blockmasons,/profile/summary/47-2021.00
Bridge & Lock Tenders,/profile/summary/53-6011.00
Broadcast Announcers & Radio Disc Jockeys,/profile/summary/27-3011.00
Broadcast Technicians,/profile/summary/27-4012.00
Brokerage Clerks,/profile/summary/43-4011.00
Brownfield Redevelopment Specialists & Site Managers,/profile/summary/11-9199.11
,/profile/bright/11-9199.11
Budget Analysts,/profile/summary/13-2031.00
Bus & Truck Mechanics & Diesel Engine Specialists,/profile/summary/49-3031.00
"Bus Drivers, School",/profile/summary/53-3051.00
"Bus Drivers, Transit & Intercity",/profile/summary/53-3052.00
Business Continuity Planners,/profile/summary/13-1199.04
,/profile/bright/13-1199.04
Business Intelligence Analysts,/profile/summary/15-2051.01
,/profile/bright/15-2051.01
"Business Teachers, Postsecondary",/profile/summary/25-1011.00
,/profile/bright/25-1011.00
Butchers & Meat Cutters,/profile/summary/51-3021.00
"Buyers & Purchasing Agents, Farm Products",/profile/summary/13-1021.00
,/profile/bright/13-1021.00
Cabinetmakers & Bench Carpenters,/profile/summary/51-7011.00
Calibration Technologists & Technicians,/profile/summary/17-3028.00
,/profile/bright/17-3028.00
Camera & Photographic Equipment Repairers,/profile/summary/49-9061.00
"Camera Operators, Television, Video, & Film",/profile/summary/27-4031.00
"Captains, Mates, & Pilots of Water Vessels",/profile/summary/53-5021.00
Cardiologists,/profile/summary/29-1212.00
Cardiovascular Technologists & Technicians,/profile/summary/29-2031.00
"Career/Technical Education Teachers, Middle School",/profile/summary/25-2023.00
"Career/Technical Education Teachers, Postsecondary",/profile/summary/25-1194.00
"Career/Technical Education Teachers, Secondary School",/profile/summary/25-2032.00
Cargo & Freight Agents,/profile/summary/43-5011.00
,/profile/bright/43-5011.00
Carpenters,/profile/summary/47-2031.00
Carpet Installers,/profile/summary/47-2041.00
Cartographers & Photogrammetrists,/profile/summary/17-1021.00
,/profile/bright/17-1021.00
Cashiers,/profile/summary/41-2011.00
,/profile/bright/41-2011.00
Cement Masons & Concrete Finishers,/profile/summary/47-2051.00
Chefs & Head Cooks,/profile/summary/35-1011.00
,/profile/bright/35-1011.00
Chemical Engineers,/profile/summary/17-2041.00
,/profile/bright/17-2041.00
Chemical Equipment Operators & Tenders,/profile/summary/51-9011.00
Chemical Plant & System Operators,/profile/summary/51-8091.00
Chemical Technicians,/profile/summary/19-4031.00
,/profile/bright/19-4031.00
"Chemistry Teachers, Postsecondary",/profile/summary/25-1052.00
Chemists,/profile/summary/19-2031.00
,/profile/bright/19-2031.00
Chief Executives,/profile/summary/11-1011.00
,/profile/bright/11-1011.00
Chief Sustainability Officers,/profile/summary/11-1011.03
,/profile/bright/11-1011.03
"Child, Family, & School Social Workers",/profile/summary/21-1021.00
Childcare Workers,/profile/summary/39-9011.00
,/profile/bright/39-9011.00
Chiropractors,/profile/summary/29-1011.00
,/profile/bright/29-1011.00
Choreographers,/profile/summary/27-2032.00
Civil Engineering Technologists & Technicians,/profile/summary/17-3022.00
Civil Engineers,/profile/summary/17-2051.00
,/profile/bright/17-2051.00
"Claims Adjusters, Examiners, & Investigators",/profile/summary/13-1031.00
Cleaners of Vehicles & Equipment,/profile/summary/53-7061.00
"Cleaning, Washing, & Metal Pickling Equipment Operators & Tenders",/profile/summary/51-9192.00
Clergy,/profile/summary/21-2011.00
Climate Change Policy Analysts,/profile/summary/19-2041.01
,/profile/bright/19-2041.01
Clinical & Counseling Psychologists,/profile/summary/19-3033.00
,/profile/bright/19-3033.00
Clinical Data Managers,/profile/summary/15-2051.02
,/profile/bright/15-2051.02
Clinical Neuropsychologists,/profile/summary/19-3039.03
Clinical Nurse Specialists,/profile/summary/29-1141.04
,/profile/bright/29-1141.04
Clinical Research Coordinators,/profile/summary/11-9121.01
,/profile/bright/11-9121.01
Coaches & Scouts,/profile/summary/27-2022.00
,/profile/bright/27-2022.00
"Coating, Painting, & Spraying Machine Setters, Operators, & Tenders",/profile/summary/51-9124.00
"Coil Winders, Tapers, & Finishers",/profile/summary/51-2021.00
"Coin, Vending, & Amusement Machine Servicers & Repairers",/profile/summary/49-9091.00
Commercial & Industrial Designers,/profile/summary/27-1021.00
Commercial Divers,/profile/summary/49-9092.00
,/profile/bright/49-9092.00
Commercial Pilots,/profile/summary/53-2012.00
,/profile/bright/53-2012.00
"Communications Teachers, Postsecondary",/profile/summary/25-1122.00
Community Health Workers,/profile/summary/21-1094.00
,/profile/bright/21-1094.00
Compensation & Benefits Managers,/profile/summary/11-3111.00
"Compensation, Benefits, & Job Analysis Specialists",/profile/summary/13-1141.00
,/profile/bright/13-1141.00
Compliance Managers,/profile/summary/11-9199.02
,/profile/bright/11-9199.02
Compliance Officers,/profile/summary/13-1041.00
Computer & Information Research Scientists,/profile/summary/15-1221.00
,/profile/bright/15-1221.00
Computer & Information Systems Managers,/profile/summary/11-3021.00
,/profile/bright/11-3021.00
Computer Hardware Engineers,/profile/summary/17-2061.00
,/profile/bright/17-2061.00
Computer Network Architects,/profile/summary/15-1241.00
,/profile/bright/15-1241.00
Computer Network Support Specialists,/profile/summary/15-1231.00
,/profile/bright/15-1231.00
Computer Numerically Controlled Tool Operators,/profile/summary/51-9161.00
Computer Numerically Controlled Tool Programmers,/profile/summary/51-9162.00
,/profile/bright/51-9162.00
Computer Programmers,/profile/summary/15-1251.00
"Computer Science Teachers, Postsecondary",/profile/summary/25-1021.00
,/profile/bright/25-1021.00
Computer Systems Analysts,/profile/summary/15-1211.00
,/profile/bright/15-1211.00
Computer Systems Engineers/Architects,/profile/summary/15-1299.08
,/profile/bright/15-1299.08
Computer User Support Specialists,/profile/summary/15-1232.00
"Computer, Automated Teller, & Office Machine Repairers",/profile/summary/49-2011.00
Concierges,/profile/summary/39-6012.00
Conservation Scientists,/profile/summary/19-1031.00
,/profile/bright/19-1031.00
Construction & Building Inspectors,/profile/summary/47-4011.00
Construction Laborers,/profile/summary/47-2061.00
,/profile/bright/47-2061.00
Construction Managers,/profile/summary/11-9021.00
,/profile/bright/11-9021.00
Continuous Mining Machine Operators,/profile/summary/47-5041.00
Control & Valve Installers & Repairers,/profile/summary/49-9012.00
Conveyor Operators & Tenders,/profile/summary/53-7011.00
"Cooks, Fast Food",/profile/summary/35-2011.00
"Cooks, Institution & Cafeteria",/profile/summary/35-2012.00
"Cooks, Private Household",/profile/summary/35-2013.00
"Cooks, Restaurant",/profile/summary/35-2014.00
,/profile/bright/35-2014.00
"Cooks, Short Order",/profile/summary/35-2015.00
Cooling & Freezing Equipment Operators & Tenders,/profile/summary/51-9193.00
,/profile/bright/51-9193.00
Coroners,/profile/summary/13-1041.06
Correctional Officers & Jailers,/profile/summary/33-3012.00
Correspondence Clerks,/profile/summary/43-4021.00
Cost Estimators,/profile/summary/13-1051.00
Costume Attendants,/profile/summary/39-3092.00
,/profile/bright/39-3092.00
Counter & Rental Clerks,/profile/summary/41-2021.00
Couriers & Messengers,/profile/summary/43-5021.00
,/profile/bright/43-5021.00
Court Reporters & Simultaneous Captioners,/profile/summary/27-3092.00
"Court, Municipal, & License Clerks",/profile/summary/43-4031.00
Craft Artists,/profile/summary/27-1012.00
Crane & Tower Operators,/profile/summary/53-7021.00
Credit Analysts,/profile/summary/13-2041.00
"Credit Authorizers, Checkers, & Clerks",/profile/summary/43-4041.00
Credit Counselors,/profile/summary/13-2071.00
Crematory Operators,/profile/summary/39-4012.00
"Criminal Justice & Law Enforcement Teachers, Postsecondary",/profile/summary/25-1111.00
Critical Care Nurses,/profile/summary/29-1141.03
,/profile/bright/29-1141.03
Crossing Guards & Flaggers,/profile/summary/33-9091.00
"Crushing, Grinding, & Polishing Machine Setters, Operators, & Tenders",/profile/summary/51-9021.00
Curators,/profile/summary/25-4012.00
,/profile/bright/25-4012.00
Customer Service Representatives,/profile/summary/43-4051.00
,/profile/bright/43-4051.00
Customs & Border Protection Officers,/profile/summary/33-3051.04
Customs Brokers,/profile/summary/13-1041.08
"Cutters & Trimmers, Hand",/profile/summary/51-9031.00
"Cutting & Slicing Machine Setters, Operators, & Tenders",/profile/summary/51-9032.00
"Cutting, Punching, & Press Machine Setters, Operators, & Tenders, Metal & Plastic",/profile/summary/51-4031.00
Cytogenetic Technologists,/profile/summary/29-2011.01
Cytotechnologists,/profile/summary/29-2011.02
Dancers,/profile/summary/27-2031.00
,/profile/bright/27-2031.00
Data Entry Keyers,/profile/summary/43-9021.00
Data Scientists,/profile/summary/15-2051.00
,/profile/bright/15-2051.00
Data Warehousing Specialists,/profile/summary/15-1243.01
,/profile/bright/15-1243.01
Database Administrators,/profile/summary/15-1242.00
,/profile/bright/15-1242.00
Database Architects,/profile/summary/15-1243.00
,/profile/bright/15-1243.00
Demonstrators & Product Promoters,/profile/summary/41-9011.00
Dental Assistants,/profile/summary/31-9091.00
,/profile/bright/31-9091.00
Dental Hygienists,/profile/summary/29-1292.00
,/profile/bright/29-1292.00
Dental Laboratory Technicians,/profile/summary/51-9081.00
"Dentists, General",/profile/summary/29-1021.00
Dermatologists,/profile/summary/29-1213.00
,/profile/bright/29-1213.00
"Derrick Operators, Oil & Gas",/profile/summary/47-5011.00
Desktop Publishers,/profile/summary/43-9031.00
Detectives & Criminal Investigators,/profile/summary/33-3021.00
Diagnostic Medical Sonographers,/profile/summary/29-2032.00
,/profile/bright/29-2032.00
Dietetic Technicians,/profile/summary/29-2051.00
Dietitians & Nutritionists,/profile/summary/29-1031.00
,/profile/bright/29-1031.00
Digital Forensics Analysts,/profile/summary/15-1299.06
,/profile/bright/15-1299.06
Dining Room & Cafeteria Attendants & Bartender Helpers,/profile/summary/35-9011.00
,/profile/bright/35-9011.00
"Directors, Religious Activities & Education",/profile/summary/21-2021.00
Disc Jockeys,/profile/summary/27-2091.00
Dishwashers,/profile/summary/35-9021.00
Dispatchers,/profile/summary/43-5032.00
Document Management Specialists,/profile/summary/15-1299.03
,/profile/bright/15-1299.03
"Door-to-Door Sales Workers, News & Street Vendors, & Related Workers",/profile/summary/41-9091.00
Dredge Operators,/profile/summary/53-7031.00
"Drilling & Boring Machine Tool Setters, Operators, & Tenders, Metal & Plastic",/profile/summary/51-4032.00
Driver/Sales Workers,/profile/summary/53-3031.00
,/profile/bright/53-3031.00
Drywall & Ceiling Tile Installers,/profile/summary/47-2081.00
Earth Drillers,/profile/summary/47-5023.00
"Economics Teachers, Postsecondary",/profile/summary/25-1063.00
Economists,/profile/summary/19-3011.00
Editors,/profile/summary/27-3041.00
"Education & Childcare Administrators, Preschool & Daycare",/profile/summary/11-9031.00
"Education Administrators, Kindergarten through Secondary",/profile/summary/11-9032.00
"Education Administrators, Postsecondary",/profile/summary/11-9033.00
"Education Teachers, Postsecondary",/profile/summary/25-1081.00
"Educational, Guidance, & Career Counselors & Advisors",/profile/summary/21-1012.00
"Electric Motor, Power Tool, & Related Repairers",/profile/summary/49-2092.00
Electrical & Electronic Engineering Technologists & Technicians,/profile/summary/17-3023.00
Electrical & Electronic Equipment Assemblers,/profile/summary/51-2022.00
